
Predictions were generated on 06-Oct-2025 at 18:07:26 using FAST (v8.16.00a-bjj, 27-Jul-2016), compiled as a 32-bit application using single precision
 linked with  NWTC Subroutine Library (v2.09.00, 23-Jul-2016); ElastoDyn (v1.04.00a-bjj, 26-Jul-2016); InflowWind (v3.03.00, 26-Jul-2016); AeroDyn14 (v14.05.01a-bjj, 25-Jul-2016); ServoDyn (v1.06.00a-bjj, 26-Jul-2016)

Description from the FAST input file: NREL 5.0 MW Baseline Wind Turbine (Onshore)

Time      	Wind1VelX 	BldPitch1 	RotSpeed  	TTDspFA   	TwrBsMyt  	LSShftTq  	RootMyc1  	GenPwr    	GenTq     
(s)       	(m/s)     	(deg)     	(rpm)     	(m)       	(kN·m)    	(kN·m)    	(kN·m)    	(kW)      	(kN·m)    
    0.0000	 2.000E+01	 1.200E+01	 1.210E+01	 0.000E+00	-1.420E+03	 0.000E+00	 1.017E+03	 5.000E+03	 4.309E+01
    0.0125	 2.000E+01	 1.200E+01	 1.212E+01	 0.000E+00	 7.011E+04	 5.011E+03	 1.088E+04	 5.000E+03	 4.302E+01
    0.0250	 2.000E+01	 1.215E+01	 1.213E+01	 0.000E+00	 5.206E+04	 4.504E+03	 7.931E+03	 5.000E+03	 4.298E+01
    0.0375	 2.000E+01	 1.216E+01	 1.214E+01	 0.000E+00	 5.980E+04	 4.721E+03	 9.189E+03	 5.000E+03	 4.294E+01
    0.0500	 2.000E+01	 1.222E+01	 1.216E+01	 0.000E+00	 6.014E+04	 4.728E+03	 9.251E+03	 5.000E+03	 4.289E+01
    0.0625	 2.000E+01	 1.227E+01	 1.217E+01	 0.000E+00	 5.964E+04	 4.713E+03	 9.170E+03	 5.000E+03	 4.284E+01
    0.0750	 2.000E+01	 1.232E+01	 1.218E+01	 0.000E+00	 5.932E+04	 4.703E+03	 9.121E+03	 5.000E+03	 4.280E+01
    0.0875	 2.000E+01	 1.237E+01	 1.220E+01	 0.000E+00	 5.904E+04	 4.693E+03	 9.076E+03	 5.000E+03	 4.275E+01
    0.1000	 2.000E+01	 1.242E+01	 1.221E+01	 0.000E+00	 5.873E+04	 4.683E+03	 9.028E+03	 5.000E+03	 4.271E+01
    0.1125	 2.000E+01	 1.246E+01	 1.222E+01	 0.000E+00	 5.843E+04	 4.674E+03	 8.980E+03	 5.000E+03	 4.266E+01
    0.1250	 2.000E+01	 1.251E+01	 1.224E+01	 0.000E+00	 5.813E+04	 4.664E+03	 8.931E+03	 5.000E+03	 4.262E+01
    0.1375	 2.000E+01	 1.256E+01	 1.225E+01	 0.000E+00	 5.782E+04	 4.655E+03	 8.882E+03	 5.000E+03	 4.257E+01
    0.1500	 2.000E+01	 1.261E+01	 1.226E+01	 0.000E+00	 5.751E+04	 4.645E+03	 8.831E+03	 5.000E+03	 4.253E+01
    0.1625	 2.000E+01	 1.265E+01	 1.227E+01	 0.000E+00	 5.720E+04	 4.635E+03	 8.782E+03	 5.000E+03	 4.249E+01
    0.1750	 2.000E+01	 1.270E+01	 1.228E+01	 0.000E+00	 5.690E+04	 4.626E+03	 8.733E+03	 5.000E+03	 4.245E+01
    0.1875	 2.000E+01	 1.275E+01	 1.230E+01	 0.000E+00	 5.659E+04	 4.617E+03	 8.684E+03	 5.000E+03	 4.240E+01
    0.2000	 2.000E+01	 1.279E+01	 1.231E+01	 0.000E+00	 5.630E+04	 4.608E+03	 8.636E+03	 5.000E+03	 4.236E+01
    0.2125	 2.000E+01	 1.284E+01	 1.232E+01	 0.000E+00	 5.600E+04	 4.598E+03	 8.587E+03	 5.000E+03	 4.232E+01
    0.2250	 2.000E+01	 1.288E+01	 1.233E+01	 0.000E+00	 5.570E+04	 4.589E+03	 8.538E+03	 5.000E+03	 4.228E+01
